codeName,codeType,faceValue,numberShares,codeNum,date,closed,updown,delta,open,high,low,volume
삼성전자,코스피,5000,147299,005930,2014.01.02,1309000,down,63000,1348000,1355000,1302000,620500
삼성전자,코스피,5000,147299,005930,2014.01.03,1296000,down,13000,1300000,1311000,1287000,529932
삼성전자,코스피,5000,147299,005930,2014.01.06,1307000,up,11000,1303000,1320000,1296000,394716
삼성전자,코스피,5000,147299,005930,2014.01.07,1304000,down,3000,1300000,1318000,1295000,395264
삼성전자,코스피,5000,147299,005930,2014.01.08,1291000,down,13000,1300000,1304000,1287000,409493
삼성전자,코스피,5000,147299,005930,2014.01.09,1275000,down,16000,1307000,1307000,1275000,425019
삼성전자,코스피,5000,147299,005930,2014.01.10,1272000,down,3000,1275000,1286000,1272000,363783
삼성전자,코스피,5000,147299,005930,2014.01.13,1295000,up,23000,1283000,1297000,1273000,328987
삼성전자,코스피,5000,147299,005930,2014.01.14,1313000,up,18000,1297000,1330000,1290000,294333
삼성전자,코스피,5000,147299,005930,2014.01.15,1299000,down,14000,1330000,1331000,1298000,234949
삼성전자,코스피,5000,147299,005930,2014.01.16,1301000,up,2000,1300000,1310000,1293000,195049
삼성전자,코스피,5000,147299,005930,2014.01.17,1292000,down,9000,1301000,1315000,1292000,255485
삼성전자,코스피,5000,147299,005930,2014.01.20,1316000,up,24000,1305000,1319000,1296000,173656
삼성전자,코스피,5000,147299,005930,2014.01.21,1324000,up,8000,1315000,1327000,1311000,151246
삼성전자,코스피,5000,147299,005930,2014.01.22,1328000,up,4000,1314000,1328000,1312000,216530
삼성전자,코스피,5000,147299,005930,2014.01.23,1299000,down,29000,1316000,1322000,1299000,206739
삼성전자,코스피,5000,147299,005930,2014.01.24,1307000,up,8000,1300000,1318000,1291000,280035
삼성전자,코스피,5000,147299,005930,2014.01.27,1292000,down,15000,1293000,1304000,1285000,266926
삼성전자,코스피,5000,147299,005930,2014.01.28,1283000,down,9000,1273000,1293000,1273000,234027
삼성전자,코스피,5000,147299,005930,2014.01.29,1280000,down,3000,1280000,1288000,1277000,383637
삼성전자,코스피,5000,147299,005930,2014.02.03,1272000,down,8000,1286000,1288000,1271000,325184
삼성전자,코스피,5000,147299,005930,2014.02.04,1249000,down,23000,1263000,1263000,1249000,320660
삼성전자,코스피,5000,147299,005930,2014.02.05,1237000,down,12000,1245000,1255000,1234000,298533
삼성전자,코스피,5000,147299,005930,2014.02.06,1259000,up,22000,1245000,1267000,1240000,303949
삼성전자,코스피,5000,147299,005930,2014.02.07,1275000,up,16000,1275000,1279000,1263000,198872
